gene,trait
ALDH2,Type 2 diabetes
HECTD4,Type 2 diabetes
RBM19,Type 2 diabetes
FGF9,Type 2 diabetes
NYNRIN,Type 2 diabetes
LRRC74A,Type 2 diabetes
DLK1,Type 2 diabetes
MEG3,Type 2 diabetes
miRNA,Type 2 diabetes
TRAF3,Type 2 diabetes
HERC2,Type 2 diabetes
MYO5C,Type 2 diabetes
SIN3A,Type 2 diabetes
RGMA,Type 2 diabetes
IGF1R,Type 2 diabetes
SLX4,Type 2 diabetes
GP2,Type 2 diabetes
PKD1L3,Type 2 diabetes
ZFHX3,Type 2 diabetes
PITPNC1,Type 2 diabetes
SUMO2,Type 2 diabetes
ZNF799,Type 2 diabetes
ZNF738,Type 2 diabetes
EML2,Type 2 diabetes
ZNRF3,Type 2 diabetes
WNT7B,Type 2 diabetes
ANKRD34C,Type 2 diabetes
TRPM1,Type 2 diabetes
ADARB1,Type 2 diabetes
ITGA2,Type 2 diabetes
MASP1,Type 2 diabetes
ANKRD30A,Type 2 diabetes
PCAT5,Type 2 diabetes
MAGEC3,Type 2 diabetes
WNT5A,Type 2 diabetes
RBFOX1,Type 2 diabetes
TMEM114,Type 2 diabetes
PALD1,Type 2 diabetes
C11orf74,Type 2 diabetes
LOC103312105,Type 2 diabetes
GABRG3,Type 2 diabetes
PRKD1,Type 2 diabetes
MIR548AI,Type 2 diabetes
LOC101927363,Type 2 diabetes
MYH10,Type 2 diabetes
CCDC42,Type 2 diabetes
OTOL1,Type 2 diabetes
LINC01192,Type 2 diabetes
IFNAR2,Type 2 diabetes
C21orf54,Type 2 diabetes
LRP1B,Type 2 diabetes
YY1P2,Type 2 diabetes
SDK1,Type 2 diabetes
DEPDC5,Type 2 diabetes
CPED1,Type 2 diabetes
DMRTACPED11,Type 2 diabetes
MARCH3,Type 2 diabetes
TCN2,Type 2 diabetes
KCNQ3,Type 2 diabetes
ZRANB3,Type 2 diabetes
A13,Type 2 diabetes
IL13RA1,Type 2 diabetes
MIR129-LEP,Type 2 diabetes
AGPAT9,Type 2 diabetes
GRSF1,Type 2 diabetes
SPIN2A,Type 2 diabetes
FAAH2,Type 2 diabetes
TIMM17B,Type 2 diabetes
PCSK1N,Type 2 diabetes
DLEU7,Type 2 diabetes
KCNRG,Type 2 diabetes
CD86,Type 2 diabetes
SLC1A2,Type 2 diabetes
FANCL,Type 2 diabetes
CNKSR2,Type 2 diabetes
RTN4RL1,Type 2 diabetes
SOCS6,Type 2 diabetes
ARID1B,Type 2 diabetes
LINC00928,Type 2 diabetes
TICRR,Type 2 diabetes
CSMD1,Type 2 diabetes
TREML2,Type 2 diabetes
TGFB1,Type 2 diabetes
SH2B2,Type 2 diabetes
